Description,URL,Created_At,Likes,Retweet_Count,Reply_Count,Views
"Shadi Mubarak Haris Rauf from whole PCT.

https://t.co/HPdhh550nD",https://pbs.twimg.com/amplify_video_thumb/1677187563763924992/img/s-uYiCSaLZtZ79l4.jpg,Fri Jul 07 06:16:40 +0000 2023,373,19,6,3632
"گرین انٹرٹینمنٹ ٹی وی کے تمام شائقین کے لئے بڑی خوشخبری!

انتظار کی گھڑیاں ختم! 
انشاللہ 10 جولائی سے گرین انٹرٹینمنٹ ٹی وی کے ڈرامہ آپ کی ٹی وی سکرین پر ہونگے۔

#GreenTVEntertainment https://t.co/kr0XuoCjfM",https://pbs.twimg.com/amplify_video_thumb/1674154427350130690/img/FZ6qOr8SO1yC2ydU.jpg,Wed Jun 28 20:51:00 +0000 2023,8957,2904,319,4303303
Finally back on Twitter. Exams khatm Alhamdulilah. How are you guys?,,Thu Jul 06 15:58:12 +0000 2023,312,6,54,6767
"Muhammad Rizwan with his daughters after arriving from Hajj.

https://t.co/gSCcGeWRhf",https://pbs.twimg.com/ext_tw_video_thumb/1675492733748916226/pu/img/TqWwUpqmmqitrnIr.jpg,Sun Jul 02 13:42:38 +0000 2023,781,51,10,11963
"Ben Stokes completed his century with 4, 4, 6, 6. 

Are we going to witness another masterclass from Ben Stokes? https://t.co/BApBpt3vEI",https://pbs.twimg.com/media/F0B9nR0aIAE0yHX.jpg,Sun Jul 02 12:11:04 +0000 2023,109,7,7,4777
"We have seen this before too whatever happened to Jonny Bairstow.
#Ashes23 https://t.co/HJQHLAW7vq",https://pbs.twimg.com/media/F0B6GFGaUAIYE9X.jpg,Sun Jul 02 11:55:42 +0000 2023,168,6,10,13776
"Pakistanis be like:

Mari Limit to usy stalk krny ma hi khatm ho jai gi😂.",,Sat Jul 01 17:43:42 +0000 2023,89,2,8,2956
"New Twitter Rule 🛑

Twitter set new limits for Users :
- Verified accounts can read upto 6k posts per Day 

- While Unverified accounts can read only 600 posts/day |",,Sat Jul 01 17:24:13 +0000 2023,258,11,22,8781
"End on an era for Bazzball 
#Ashes2023 || #Ashes23 https://t.co/EEFvMtvINc",https://pbs.twimg.com/media/Fz925IxaYAAMios.jpg,Sat Jul 01 17:03:13 +0000 2023,322,10,13,5317
"As West Indies has been knocked out of the world cup this means if you keep on giving importance to the leagues like IPL over your national duty then you have to face things like this. High time to think about their country more than random leagues.
#CWC23Qualifiers | #WIvsSC |… https://t.co/bayROqnJeZ",https://pbs.twimg.com/media/Fz9Ls-XacAA-XTc.jpg,Sat Jul 01 13:54:31 +0000 2023,281,12,44,14690
"My name is Ehtisham Siddique and I strongly condemn the desecration of the Holy Quran and boycott all Swedish brands. Quote this with your name.
#BoycottSwedishBrands 

https://t.co/iADQcS8rk3",https://pbs.twimg.com/ext_tw_video_thumb/1675129153664987138/pu/img/sN_FkTozRqXeYZoF.jpg,Sat Jul 01 13:46:54 +0000 2023,2498,1845,153,120548
Lucky Fan of Babar Azam. https://t.co/uIe3V7dk8x,https://pbs.twimg.com/media/Fz8P5oPaMAAEc7S.jpg,Sat Jul 01 09:33:14 +0000 2023,1729,22,7,18429
It’s a tough competition now. Already 150+ candidates ho gain han which means twitter is filled with the cult supporters of Babar Azam❤️.,,Fri Jun 30 17:39:44 +0000 2023,190,3,24,5993
Didn’t compliment any girls’ eid media because that would be a disrespect to my future wife.,,Fri Jun 30 15:39:14 +0000 2023,159,2,22,4761
RT @babarazamking_: Bald Babar Azam https://t.co/1CXhEc1bo8,https://pbs.twimg.com/media/Fz34gt_aUAAYKRW.jpg,Fri Jun 30 13:14:22 +0000 2023,0,19,0,
"Chris Gayle 🗣️

Pakistan vs India cricket match is bigger than the Ashes. https://t.co/wT8Do7OKDy",https://pbs.twimg.com/media/Fz2mjqAaYAMoDDX.jpg,Fri Jun 30 07:14:31 +0000 2023,562,12,17,11406
Eid Mubarak Guys❤️. https://t.co/QMm7wzuTRj,https://pbs.twimg.com/media/FzzRePTagAUaJQ6.jpg,Thu Jun 29 15:44:10 +0000 2023,281,4,9,3608
2nd winner of Eidi @farahzareef . Congratulations dear. https://t.co/4rOzfRtPsw,https://pbs.twimg.com/media/FzzJKr0aQAInN-0.jpg,Thu Jun 29 15:07:15 +0000 2023,55,5,14,3667
Hamari Eid to ab hoi ha😭❤️ https://t.co/h5aYIgcvQK,https://pbs.twimg.com/media/Fzy_YCVaYAMUKcX.jpg,Thu Jun 29 14:24:29 +0000 2023,968,19,15,8427
